ID_Candidat,Nom,Prénom,Email,Téléphone,Pays,Prochaine_Disponibilité,Niveau_Education,Langues,Expériences,Compétences,Date_Ajout,Dernière_Mise_A_Jour
80,Durand,Louise,louise.durand@mail.com,4390061048,France,2026-02-08,Doctorat,"Français (C1), Allemand (B1), Anglais (B2)","Paul, 10 ans, pharmaceutique","Regulatory Affairs: Avancé, Quality Systems & Compliance: Intermédiaire, Audits: Débutant, Clinical & Post Market: Débutant, Engineering: Débutant, Representative Services: Avancé",2024-07-02,2024-03-27
81,Petit,Julie,julie.petit@mail.com,6715665933,Canada,2024-12-11,Master,"Allemand (B1), Français (C1)","Lucie, 10 ans, pharmaceutique","Regulatory Affairs: Débutant, Quality Systems & Compliance: Intermédiaire, Audits: Avancé, Clinical & Post Market: Débutant, Engineering: Intermédiaire, Representative Services: Débutant",2024-06-06,2024-05-03
82,Durand,Julie,julie.durand@mail.com,6088741904,Belgique,2026-02-24,Master,Français (C1),"Lucie, 5 ans, qualité","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Avancé, Audits: Avancé, Clinical & Post Market: Avancé, Engineering: Intermédiaire, Representative Services: Débutant",2024-10-15,2024-10-23
83,Robert,Julie,julie.robert@mail.com,3738415767,Belgique,2024-04-08,Licence,"Allemand (B1), Français (C1), Néerlandais (B2)","Julie, 5 ans, audit","Regulatory Affairs: Débutant, Quality Systems & Compliance: Intermédiaire, Audits: Débutant, Clinical & Post Market: Avancé, Engineering: Intermédiaire, Representative Services: Débutant",2024-07-22,2024-08-23
84,Simon,Jean,jean.simon@mail.com,4930169276,Suisse,2025-04-10,Doctorat,"Français (C1), Allemand (B1), Néerlandais (B2)","Jacques, 8 ans, qualité","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Avancé, Audits: Débutant, Clinical & Post Market: Avancé, Engineering: Avancé, Representative Services: Débutant",2024-10-18,2024-09-07
85,Leroy,Jacques,jacques.leroy@mail.com,9838822508,Canada,2025-09-28,Master,"Espagnol (A2), Anglais (B2)","Jean, 1 ans, pharmaceutique","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Intermédiaire, Audits: Avancé, Clinical & Post Market: Intermédiaire, Engineering: Débutant, Representative Services: Avancé",2024-05-05,2024-06-05
86,Simon,Julie,julie.simon@mail.com,4368831493,France,2024-07-18,Doctorat,"Espagnol (A2), Anglais (B2), Allemand (B1)","Pierre, 7 ans, audit","Regulatory Affairs: Débutant, Quality Systems & Compliance: Avancé, Audits: Avancé, Clinical & Post Market: Avancé, Engineering: Intermédiaire, Representative Services: Avancé",2024-08-07,2024-02-11
87,Petit,Jean,jean.petit@mail.com,2740766331,Luxembourg,2026-03-14,Doctorat,Espagnol (A2),"Julie, 2 ans, pharmaceutique","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Intermédiaire, Audits: Débutant, Clinical & Post Market: Intermédiaire, Engineering: Débutant, Representative Services: Intermédiaire",2024-04-01,2024-02-14
88,Richard,Marie,marie.richard@mail.com,3796791798,Canada,2025-05-08,Doctorat,"Allemand (B1), Anglais (B2)","Julie, 4 ans, audit","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Débutant, Audits: Débutant, Clinical & Post Market: Intermédiaire, Engineering: Avancé, Representative Services: Avancé",2024-09-20,2024-04-14
89,Petit,Marie,marie.petit@mail.com,8207274920,Canada,2026-02-18,Master,Néerlandais (B2),"Lucie, 6 ans, qualité","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Intermédiaire, Audits: Avancé, Clinical & Post Market: Avancé, Engineering: Intermédiaire, Representative Services: Débutant",2024-06-18,2024-02-14
90,Richard,Marie,marie.richard@mail.com,6462519760,Luxembourg,2026-03-21,Master,Espagnol (A2),"Sophie, 8 ans, clinique","Regulatory Affairs: Avancé, Quality Systems & Compliance: Avancé, Audits: Débutant, Clinical & Post Market: Débutant, Engineering: Débutant, Representative Services: Débutant",2024-06-01,2024-06-28
91,Moreau,Louise,louise.moreau@mail.com,9469797761,France,2024-10-26,Master,"Néerlandais (B2), Allemand (B1), Espagnol (A2)","Lucie, 6 ans, audit","Regulatory Affairs: Avancé, Quality Systems & Compliance: Intermédiaire, Audits: Intermédiaire, Clinical & Post Market: Débutant, Engineering: Débutant, Representative Services: Intermédiaire",2024-08-23,2024-10-18
92,Durand,Jacques,jacques.durand@mail.com,6698511524,Suisse,2024-10-10,Doctorat,Néerlandais (B2),"Pierre, 5 ans, qualité","Regulatory Affairs: Débutant, Quality Systems & Compliance: Avancé, Audits: Avancé, Clinical & Post Market: Intermédiaire, Engineering: Avancé, Representative Services: Débutant",2024-03-07,2024-01-21
93,Leroy,Sophie,sophie.leroy@mail.com,2109942873,Canada,2026-06-25,Licence,Français (C1),"Marie, 3 ans, pharmaceutique","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Débutant, Audits: Débutant, Clinical & Post Market: Débutant, Engineering: Intermédiaire, Representative Services: Débutant",2024-01-21,2024-08-25
94,Simon,Jean,jean.simon@mail.com,6677751498,Luxembourg,2025-12-28,Doctorat,Anglais (B2),"Julie, 10 ans, pharmaceutique","Regulatory Affairs: Débutant, Quality Systems & Compliance: Intermédiaire, Audits: Intermédiaire, Clinical & Post Market: Intermédiaire, Engineering: Avancé, Representative Services: Avancé",2024-06-11,2024-09-07
95,Martin,Paul,paul.martin@mail.com,7160962769,Luxembourg,2025-06-08,Doctorat,"Français (C1), Allemand (B1), Anglais (B2)","Marc, 1 ans, qualité","Regulatory Affairs: Intermédiaire, Quality Systems & Compliance: Débutant, Audits: Avancé, Clinical & Post Market: Intermédiaire, Engineering: Avancé, Representative Services: Intermédiaire",2024-06-21,2024-05-11
96,Robert,Jacques,jacques.robert@mail.com,9931182548,Belgique,2026-03-04,Master,"Français (C1), Néerlandais (B2)","Jean, 4 ans, qualité","Regulatory Affairs: Avancé, Quality Systems & Compliance: Avancé, Audits: Débutant, Clinical & Post Market: Débutant, Engineering: Avancé, Representative Services: Intermédiaire",2024-04-13,2024-06-27
97,Richard,Marie,marie.richard@mail.com,9016753486,Suisse,2025-10-27,Licence,"Néerlandais (B2), Français (C1)","Julie, 9 ans, qualité","Regulatory Affairs: Avancé, Quality Systems & Compliance: Débutant, Audits: Intermédiaire, Clinical & Post Market: Intermédiaire, Engineering: Intermédiaire, Representative Services: Débutant",2024-08-13,2024-09-27
98,Petit,Jacques,jacques.petit@mail.com,5972126474,France,2024-06-09,Master,"Français (C1), Anglais (B2)","Pierre, 10 ans, audit","Regulatory Affairs: Avancé, Quality Systems & Compliance: Débutant, Audits: Débutant, Clinical & Post Market: Avancé, Engineering: Débutant, Representative Services: Intermédiaire",2024-09-02,2024-07-03
99,Richard,Marc,marc.richard@mail.com,9084461058,Canada,2024-06-07,Master,Anglais (B2),"Sophie, 7 ans, pharmaceutique","Regulatory Affairs: Débutant, Quality Systems & Compliance: Avancé, Audits: Débutant, Clinical & Post Market: Intermédiaire, Engineering: Avancé, Representative Services: Débutant",2024-02-11,2024-03-20
100,Moreau,Paul,paul.moreau@mail.com,7300532035,Canada,2025-12-27,Master,"Espagnol (A2), Anglais (B2), Néerlandais (B2)","Jean, 5 ans, clinique","Regulatory Affairs: Avancé, Quality Systems & Compliance: Débutant, Audits: Débutant, Clinical & Post Market: Débutant, Engineering: Intermédiaire, Representative Services: Avancé",2024-07-14,2024-01-28
