ID_Candidat,Nom,Prénom,Email,Téléphone,Pays,Prochaine_Disponibilité,Niveau_Education,Langues,Compétences,Expériences,Date_Ajout,Dernière_Mise_A_Jour
61,Robert,Julie,julie.robert@mail.com,8730746334,Suisse,2024-12-04,Doctorat,"Néerlandais (B2), Espagnol (A2)",Expertise en ingénierie avec un niveau Avancé. Expérience Avancé en audits et compétences Avancé en domaines cliniques et post-marché. Bonne maîtrise de services de représentation avec un niveau Intermédiaire.,"Auditeur principal pendant 6 ans chez Richard PharmaCorp, où il a dirigé des projets liés à qualité, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-08-19,2024-07-04
62,Moreau,Marc,marc.moreau@mail.com,9884009668,France,2024-05-25,Master,Espagnol (A2),Spécialiste en audits avec des compétences Intermédiaire et une bonne maîtrise des audits. Expérience Avancé en systèmes de qualité et Intermédiaire en services de représentation.,Expérience de 6 ans en tant que auditeur principal chez Dupont PharmaCorp. A conduit de nombreux audits dans le domaine réglementaire et a collaboré avec des partenaires internationaux.,2024-04-26,2024-10-22
63,Bernard,Marc,marc.bernard@mail.com,5701702387,Luxembourg,2025-10-27,Master,"Espagnol (A2), Anglais (B2)",Expertise en services de représentation avec un niveau Intermédiaire. Expérience Avancé en domaines cliniques et post-marché et compétences Débutant en ingénierie. Bonne maîtrise de services de représentation avec un niveau Débutant.,"Auditeur principal pendant 10 ans chez Bernard PharmaCorp, où il a dirigé des projets liés à pharmaceutique, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-09-08,2024-03-27
64,Durand,Lucie,lucie.durand@mail.com,3445091317,France,2024-10-16,Licence,"Allemand (B1), Néerlandais (B2), Anglais (B2)","Niveau Avancé en affaires réglementaires, avec une bonne expertise en services de représentation et compétences Intermédiaire en services de représentation. Connaissances avancées en affaires réglementaires.",Expérience de 9 ans en tant que auditeur principal chez Bernard PharmaCorp. A conduit de nombreux audits dans le domaine réglementaire et a collaboré avec des partenaires internationaux.,2024-01-04,2024-02-06
65,Richard,Julie,julie.richard@mail.com,8403249262,Belgique,2024-03-12,Doctorat,Espagnol (A2),Spécialiste en audits avec des compétences Avancé et une bonne maîtrise des audits. Expérience Débutant en affaires réglementaires et Débutant en affaires réglementaires.,Expérience de 3 ans en tant que auditeur principal chez Moreau PharmaCorp. A conduit de nombreux audits dans le domaine qualité et a collaboré avec des partenaires internationaux.,2024-04-03,2024-06-04
66,Moreau,Jacques,jacques.moreau@mail.com,8796111517,Canada,2024-11-23,Master,Néerlandais (B2),Expertise en domaines cliniques et post-marché avec un niveau Avancé. Expérience Débutant en affaires réglementaires et compétences Avancé en services de représentation. Bonne maîtrise de services de représentation avec un niveau Débutant.,"6 ans chez Martin PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur qualité, supervisant des équipes et coordonnant des initiatives internationales.",2024-09-25,2024-02-23
67,Martin,Julie,julie.martin@mail.com,9680678236,Suisse,2025-02-03,Licence,Néerlandais (B2),"Solide expérience en affaires réglementaires, avec un niveau Intermédiaire. Compétences Intermédiaire dans les domaines de ingénierie et ingénierie, ainsi qu'une bonne maîtrise de ingénierie.","Auditeur principal pendant 5 ans chez Martin PharmaCorp, où il a dirigé des projets liés à pharmaceutique, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-01-21,2024-06-14
68,Durand,Marc,marc.durand@mail.com,7776361560,Belgique,2024-01-18,Master,Néerlandais (B2),Spécialiste en domaines cliniques et post-marché avec des compétences Intermédiaire et une bonne maîtrise des audits. Expérience Débutant en ingénierie et Débutant en affaires réglementaires.,"Auditeur principal pendant 4 ans chez Dupont PharmaCorp, où il a dirigé des projets liés à pharmaceutique, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-06-13,2024-02-23
69,Simon,Lucie,lucie.simon@mail.com,1185680089,Luxembourg,2024-08-28,Master,"Anglais (B2), Espagnol (A2)",Spécialiste en services de représentation avec des compétences Intermédiaire et une bonne maîtrise des audits. Expérience Débutant en audits et Intermédiaire en affaires réglementaires.,"Auditeur principal pendant 4 ans chez Martin PharmaCorp, où il a dirigé des projets liés à qualité, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-09-27,2024-02-28
70,Richard,Julie,julie.richard@mail.com,5672470502,Suisse,2025-11-05,Master,"Allemand (B1), Anglais (B2)","Solide expérience en services de représentation, avec un niveau Intermédiaire. Compétences Débutant dans les domaines de affaires réglementaires et systèmes de qualité, ainsi qu'une bonne maîtrise de affaires réglementaires.",Expérience de 7 ans en tant que auditeur principal chez Moreau PharmaCorp. A conduit de nombreux audits dans le domaine qualité et a collaboré avec des partenaires internationaux.,2024-07-21,2024-08-11
71,Bernard,Paul,paul.bernard@mail.com,1254197444,France,2025-08-13,Doctorat,"Français (C1), Néerlandais (B2), Espagnol (A2)","Solide expérience en systèmes de qualité, avec un niveau Intermédiaire. Compétences Intermédiaire dans les domaines de audits et audits, ainsi qu'une bonne maîtrise de audits.","10 ans chez Richard PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur qualité, supervisant des équipes et coordonnant des initiatives internationales.",2024-01-16,2024-03-09
72,Dupont,Sophie,sophie.dupont@mail.com,2800694798,Canada,2025-11-09,Doctorat,Néerlandais (B2),Expertise en systèmes de qualité avec un niveau Avancé. Expérience Débutant en audits et compétences Avancé en ingénierie. Bonne maîtrise de affaires réglementaires avec un niveau Intermédiaire.,"Auditeur principal pendant 8 ans chez Richard PharmaCorp, où il a dirigé des projets liés à qualité, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-09-11,2024-03-20
73,Simon,Marc,marc.simon@mail.com,3582555078,Belgique,2026-05-15,Master,Espagnol (A2),Spécialiste en audits avec des compétences Débutant et une bonne maîtrise des audits. Expérience Avancé en audits et Débutant en services de représentation.,Expérience de 9 ans en tant que auditeur principal chez Martin PharmaCorp. A conduit de nombreux audits dans le domaine pharmaceutique et a collaboré avec des partenaires internationaux.,2024-05-05,2024-10-23
74,Robert,Louise,louise.robert@mail.com,7680204079,Suisse,2026-11-14,Licence,"Français (C1), Allemand (B1)",Expertise en services de représentation avec un niveau Avancé. Expérience Débutant en domaines cliniques et post-marché et compétences Avancé en audits. Bonne maîtrise de ingénierie avec un niveau Intermédiaire.,"3 ans d'expérience chez Petit PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur pharmaceutique. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-08-24,2024-04-28
75,Bernard,Louise,louise.bernard@mail.com,9023879745,Luxembourg,2024-12-04,Licence,"Français (C1), Espagnol (A2)",Expertise en domaines cliniques et post-marché avec un niveau Intermédiaire. Expérience Avancé en ingénierie et compétences Avancé en services de représentation. Bonne maîtrise de systèmes de qualité avec un niveau Intermédiaire.,"5 ans d'expérience chez Durand PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur réglementaire. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-10-18,2024-06-05
76,Richard,Jacques,jacques.richard@mail.com,2550233902,Belgique,2025-07-27,Licence,"Espagnol (A2), Anglais (B2), Néerlandais (B2)","Solide expérience en systèmes de qualité, avec un niveau Débutant. Compétences Intermédiaire dans les domaines de affaires réglementaires et services de représentation, ainsi qu'une bonne maîtrise de services de représentation.",Expérience de 6 ans en tant que auditeur principal chez Petit PharmaCorp. A conduit de nombreux audits dans le domaine qualité et a collaboré avec des partenaires internationaux.,2024-07-06,2024-08-17
77,Leroy,Lucie,lucie.leroy@mail.com,5013114538,Canada,2026-05-18,Master,"Allemand (B1), Espagnol (A2), Néerlandais (B2)","Niveau Avancé en audits, avec une bonne expertise en domaines cliniques et post-marché et compétences Avancé en affaires réglementaires. Connaissances avancées en audits.","Auditeur principal pendant 5 ans chez Bernard PharmaCorp, où il a dirigé des projets liés à qualité, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-04-23,2024-05-21
78,Durand,Jean,jean.durand@mail.com,4625342284,Luxembourg,2025-03-10,Doctorat,"Espagnol (A2), Néerlandais (B2), Anglais (B2)","Niveau Avancé en ingénierie, avec une bonne expertise en ingénierie et compétences Intermédiaire en audits. Connaissances avancées en domaines cliniques et post-marché.","Auditeur principal pendant 7 ans chez Robert PharmaCorp, où il a dirigé des projets liés à qualité, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-09-10,2024-08-16
79,Moreau,Lucie,lucie.moreau@mail.com,7280605725,Belgique,2026-01-14,Doctorat,"Espagnol (A2), Anglais (B2)",Expertise en audits avec un niveau Intermédiaire. Expérience Débutant en audits et compétences Débutant en domaines cliniques et post-marché. Bonne maîtrise de ingénierie avec un niveau Intermédiaire.,"Auditeur principal pendant 5 ans chez Robert PharmaCorp, où il a dirigé des projets liés à pharmaceutique, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-01-06,2024-05-12
80,Martin,Julie,julie.martin@mail.com,1282465930,Suisse,2026-10-01,Master,Néerlandais (B2),"Niveau Débutant en affaires réglementaires, avec une bonne expertise en services de représentation et compétences Avancé en systèmes de qualité. Connaissances avancées en systèmes de qualité.","3 ans d'expérience chez Simon PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur pharmaceutique. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-10-16,2024-08-19
81,Dupont,Jacques,jacques.dupont@mail.com,6672055439,Canada,2025-07-02,Licence,"Néerlandais (B2), Allemand (B1)",Expertise en domaines cliniques et post-marché avec un niveau Intermédiaire. Expérience Intermédiaire en affaires réglementaires et compétences Débutant en domaines cliniques et post-marché. Bonne maîtrise de domaines cliniques et post-marché avec un niveau Débutant.,"3 ans chez Robert PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur pharmaceutique, supervisant des équipes et coordonnant des initiatives internationales.",2024-02-19,2024-08-25
82,Durand,Jean,jean.durand@mail.com,9266406869,Canada,2026-06-13,Licence,"Espagnol (A2), Néerlandais (B2)",Spécialiste en affaires réglementaires avec des compétences Intermédiaire et une bonne maîtrise des audits. Expérience Avancé en domaines cliniques et post-marché et Avancé en audits.,Expérience de 10 ans en tant que auditeur principal chez Martin PharmaCorp. A conduit de nombreux audits dans le domaine réglementaire et a collaboré avec des partenaires internationaux.,2024-08-16,2024-02-25
83,Moreau,Sophie,sophie.moreau@mail.com,2582552502,Belgique,2025-11-20,Master,"Allemand (B1), Français (C1), Néerlandais (B2)",Spécialiste en ingénierie avec des compétences Intermédiaire et une bonne maîtrise des audits. Expérience Débutant en affaires réglementaires et Avancé en services de représentation.,Expérience de 3 ans en tant que auditeur principal chez Dupont PharmaCorp. A conduit de nombreux audits dans le domaine réglementaire et a collaboré avec des partenaires internationaux.,2024-02-01,2024-08-04
84,Moreau,Jean,jean.moreau@mail.com,8910279899,France,2026-07-01,Doctorat,Allemand (B1),"Niveau Intermédiaire en ingénierie, avec une bonne expertise en systèmes de qualité et compétences Débutant en systèmes de qualité. Connaissances avancées en audits.","8 ans chez Leroy PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur pharmaceutique, supervisant des équipes et coordonnant des initiatives internationales.",2024-07-03,2024-08-04
85,Richard,Jean,jean.richard@mail.com,6731535580,France,2026-10-19,Licence,"Néerlandais (B2), Anglais (B2)","Niveau Intermédiaire en affaires réglementaires, avec une bonne expertise en domaines cliniques et post-marché et compétences Avancé en services de représentation. Connaissances avancées en audits.","5 ans d'expérience chez Petit PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur qualité. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-03-07,2024-08-12
86,Robert,Paul,paul.robert@mail.com,4412513361,Canada,2026-06-14,Doctorat,"Allemand (B1), Français (C1)","Solide expérience en services de représentation, avec un niveau Intermédiaire. Compétences Intermédiaire dans les domaines de ingénierie et domaines cliniques et post-marché, ainsi qu'une bonne maîtrise de affaires réglementaires.","4 ans d'expérience chez Bernard PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur qualité. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-04-11,2024-09-19
87,Durand,Marc,marc.durand@mail.com,5911457072,France,2026-05-13,Licence,"Néerlandais (B2), Allemand (B1), Espagnol (A2)",Expertise en services de représentation avec un niveau Avancé. Expérience Avancé en domaines cliniques et post-marché et compétences Intermédiaire en domaines cliniques et post-marché. Bonne maîtrise de affaires réglementaires avec un niveau Intermédiaire.,"10 ans chez Martin PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur qualité, supervisant des équipes et coordonnant des initiatives internationales.",2024-01-01,2024-06-28
88,Durand,Jacques,jacques.durand@mail.com,8901554504,Luxembourg,2024-04-13,Doctorat,"Français (C1), Néerlandais (B2)","Solide expérience en domaines cliniques et post-marché, avec un niveau Avancé. Compétences Débutant dans les domaines de systèmes de qualité et affaires réglementaires, ainsi qu'une bonne maîtrise de systèmes de qualité.","Auditeur principal pendant 6 ans chez Moreau PharmaCorp, où il a dirigé des projets liés à pharmaceutique, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-02-03,2024-02-12
89,Dupont,Jean,jean.dupont@mail.com,6908213966,France,2025-09-06,Licence,"Néerlandais (B2), Espagnol (A2), Français (C1)","Niveau Avancé en services de représentation, avec une bonne expertise en services de représentation et compétences Débutant en services de représentation. Connaissances avancées en ingénierie.","Auditeur principal pendant 5 ans chez Moreau PharmaCorp, où il a dirigé des projets liés à qualité, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-07-23,2024-06-17
90,Durand,Sophie,sophie.durand@mail.com,2391362632,Canada,2026-09-09,Master,"Espagnol (A2), Anglais (B2), Allemand (B1)","Niveau Débutant en systèmes de qualité, avec une bonne expertise en ingénierie et compétences Intermédiaire en audits. Connaissances avancées en affaires réglementaires.","6 ans chez Robert PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur pharmaceutique, supervisant des équipes et coordonnant des initiatives internationales.",2024-06-20,2024-08-21
91,Richard,Jean,jean.richard@mail.com,1384677181,Suisse,2025-12-20,Licence,"Anglais (B2), Néerlandais (B2)",Expertise en services de représentation avec un niveau Débutant. Expérience Intermédiaire en affaires réglementaires et compétences Intermédiaire en affaires réglementaires. Bonne maîtrise de services de représentation avec un niveau Avancé.,Expérience de 4 ans en tant que auditeur principal chez Bernard PharmaCorp. A conduit de nombreux audits dans le domaine qualité et a collaboré avec des partenaires internationaux.,2024-04-28,2024-06-02
92,Simon,Sophie,sophie.simon@mail.com,9368356104,Luxembourg,2024-01-11,Master,"Espagnol (A2), Anglais (B2)","Solide expérience en affaires réglementaires, avec un niveau Débutant. Compétences Débutant dans les domaines de systèmes de qualité et ingénierie, ainsi qu'une bonne maîtrise de audits.","3 ans d'expérience chez Simon PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur pharmaceutique. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-01-05,2024-02-10
93,Richard,Marie,marie.richard@mail.com,2006404450,France,2026-10-05,Doctorat,"Espagnol (A2), Français (C1)",Expertise en audits avec un niveau Débutant. Expérience Débutant en domaines cliniques et post-marché et compétences Débutant en services de représentation. Bonne maîtrise de domaines cliniques et post-marché avec un niveau Débutant.,"Auditeur principal pendant 3 ans chez Moreau PharmaCorp, où il a dirigé des projets liés à réglementaire, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-06-21,2024-04-15
94,Durand,Lucie,lucie.durand@mail.com,4327490633,France,2025-05-23,Licence,"Allemand (B1), Français (C1)",Expertise en domaines cliniques et post-marché avec un niveau Débutant. Expérience Intermédiaire en systèmes de qualité et compétences Avancé en systèmes de qualité. Bonne maîtrise de affaires réglementaires avec un niveau Débutant.,Expérience de 5 ans en tant que auditeur principal chez Robert PharmaCorp. A conduit de nombreux audits dans le domaine qualité et a collaboré avec des partenaires internationaux.,2024-03-24,2024-10-04
95,Durand,Marie,marie.durand@mail.com,6205698118,Belgique,2025-06-27,Doctorat,"Espagnol (A2), Allemand (B1)",Expertise en domaines cliniques et post-marché avec un niveau Avancé. Expérience Avancé en systèmes de qualité et compétences Avancé en systèmes de qualité. Bonne maîtrise de affaires réglementaires avec un niveau Débutant.,"5 ans chez Durand PharmaCorp en tant que auditeur principal. Mène plusieurs projets dans le secteur pharmaceutique, supervisant des équipes et coordonnant des initiatives internationales.",2024-07-11,2024-01-05
96,Petit,Jacques,jacques.petit@mail.com,7649030592,Suisse,2025-05-11,Master,Français (C1),Expertise en ingénierie avec un niveau Avancé. Expérience Intermédiaire en domaines cliniques et post-marché et compétences Débutant en ingénierie. Bonne maîtrise de ingénierie avec un niveau Avancé.,"10 ans d'expérience chez Dupont PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur réglementaire. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-03-20,2024-08-08
97,Simon,Jacques,jacques.simon@mail.com,1911977738,France,2024-05-06,Doctorat,"Néerlandais (B2), Français (C1), Anglais (B2)",Spécialiste en audits avec des compétences Avancé et une bonne maîtrise des audits. Expérience Débutant en affaires réglementaires et Intermédiaire en domaines cliniques et post-marché.,"4 ans d'expérience chez Martin PharmaCorp comme auditeur principal, avec une spécialisation dans le secteur qualité. Responsable de projets d'audit et de mise en conformité dans un cadre international.",2024-01-11,2024-05-08
98,Bernard,Jacques,jacques.bernard@mail.com,8762258803,Suisse,2025-06-27,Master,Allemand (B1),Expertise en ingénierie avec un niveau Débutant. Expérience Avancé en ingénierie et compétences Avancé en systèmes de qualité. Bonne maîtrise de ingénierie avec un niveau Débutant.,Expérience de 10 ans en tant que auditeur principal chez Dupont PharmaCorp. A conduit de nombreux audits dans le domaine réglementaire et a collaboré avec des partenaires internationaux.,2024-02-18,2024-10-10
99,Leroy,Sophie,sophie.leroy@mail.com,5035110487,Canada,2024-03-01,Master,"Allemand (B1), Néerlandais (B2)",Spécialiste en systèmes de qualité avec des compétences Débutant et une bonne maîtrise des audits. Expérience Avancé en domaines cliniques et post-marché et Intermédiaire en systèmes de qualité.,Expérience de 5 ans en tant que auditeur principal chez Robert PharmaCorp. A conduit de nombreux audits dans le domaine pharmaceutique et a collaboré avec des partenaires internationaux.,2024-06-16,2024-10-23
100,Dupont,Julie,julie.dupont@mail.com,2395349223,Canada,2025-01-09,Doctorat,"Anglais (B2), Néerlandais (B2)","Solide expérience en affaires réglementaires, avec un niveau Débutant. Compétences Débutant dans les domaines de audits et ingénierie, ainsi qu'une bonne maîtrise de services de représentation.","Auditeur principal pendant 8 ans chez Moreau PharmaCorp, où il a dirigé des projets liés à qualité, avec des responsabilités en supervision d'équipes et conformité réglementaire.",2024-04-12,2024-07-16
